"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",34.6555394383021,6.92557197644652,5.00399671769546,6.54800117906253e-06
"2","`Streets Metric`",11167.5791557225,5264.19486872272,2.12142206628308,0.0385803900785377
"3","`Local Return Metric`",-12259.5070417161,5407.75027880355,-2.26702536353591,0.027493618564073
"4","`PCI 2008`",-0.639649551728874,0.111673379223527,-5.72786062512304,4.89032798775681e-07
"5","`Centerline Miles`",0.00099065949739712,0.00040883583491914,2.42312295739207,0.0188362486087963
