County,Centerline Miles,Lane-miles,Area (sy),Area (sm),PCI 2008,PCI 2010,PCI 2012,PCI 2014,PCI 2016,PCI 2018,PCI 2020,Change in PCI,Population,LOST Active between 08-20,Measure expired and replaced?,Period Active,LOST Rate,Multiple LOSTS Active at same time?,Average Streets & Roads Percent,Average Local Return Percent,Streets Metric,Local Return Metric,Did the PCI start below 60?,Did the PCI fall below 60?,Pop per lane miles,Most Common Climate Zone,Climate Zone Percentage,CZP1,CZP2,CZP3,CZP4,CZP5,CZP6,CZP7,CZP8,CZP9,CZP10,CZP11,CZP12,CZP13,CZP14,CZP15,CZP16
Lake,640,1271,8822689,2.848233794,33,31,40,40,40,38,37,4,64276,FALSE,FALSE,0.00,0.00,FALSE,,,0,0,TRUE,TRUE,50.57120378,2,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Lassen,431,879,6282324,2.028126291,55,69,66,66,63,60,61,6,30600,FALSE,FALSE,0.00,0.00,FALSE,,,0,0,TRUE,FALSE,34.81228669,16,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
Los Angeles,21130,57167,457415797,147.6678064,68,67,66,66,67,67,68,0,10040682,TRUE,TRUE,1.00,0.02,TRUE,0.16,0.16,0.00249375,0.00249375,FALSE,FALSE,175.6377281,9,0.6100,0.0000,0.0000,0.0000,0.0000,0.0000,0.1733,0.0000,0.1657,0.6102,0.0075,0.0000,0.0000,0.0000,0.0320,0.0000,0.0113
Madera,1754,3507,24879499,8.031863055,48,48,47,47,46,44,44,-4,155925,TRUE,FALSE,1.00,0.01,FALSE,0.44,0.44,0.0022,0.0022,TRUE,TRUE,44.46107784,13,0.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7692,0.0000,0.0000,0.2308
Marin,1028,2065,17202637,5.553537255,61,61,61,63,64,67,65,4,259441,TRUE,TRUE,1.00,0.01,FALSE,0.27,0.13,0.001325,0.0006625,FALSE,FALSE,125.6372881,2,0.5600,0.0000,0.5610,0.4390,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Mariposa,362,719,5334893,1.722266593,53,44,44,53,65,65,66,13,17319,FALSE,FALSE,0.00,0.00,FALSE,,,0,0,TRUE,TRUE,24.0876217,12,0.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,0.0000,0.0000,0.0000,0.3333
Mendocino,1125,2256,16135923,5.209169357,51,49,37,35,35,32,36,-15,87110,FALSE,FALSE,0.00,0.00,FALSE,,,0,0,TRUE,TRUE,38.61258865,2,0.5400,0.4643,0.5357,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Merced,2349,4975,39594831,12.7824222,57,58,58,58,56,56,57,0,273661,TRUE,FALSE,0.25,0.01,FALSE,0.40,0.50,0.0005,0.000625,TRUE,TRUE,55.00723618,12,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
Modoc,1507,3014,16895856,5.454498967,42,40,56,46,59,59,63,21,8853,FALSE,FALSE,0.00,0.00,FALSE,,,0,0,TRUE,TRUE,2.937292634,16,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
Mono,737,1473,9613552,3.103548554,71,68,66,67,64,65,66,-5,14395,FALSE,FALSE,0.00,0.00,FALSE,,,0,0,FALSE,FALSE,9.77257298,16,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
Monterey,2011,3940,31471030,10.15981082,63,45,50,50,50,49,52,-11,432977,TRUE,FALSE,0.25,0.00,TRUE,0.45,0.45,0.000421875,0.000421875,FALSE,TRUE,109.8926396,3,0.7700,0.0000,0.0000,0.7714,0.2286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
